author.name,Gender,indegree,strength.mean,clusteringcoefficient.global,no.of.papers,demoninator,triangles,n.years,last.year
153,F,4,1.25,0.375,5,8,3,8,2000
18,M,33,2.060606061,0.564069543,22,1553,876,20,2018
253,F,2,3.5,1,4,3,3,23,2016
150,M,20,1.25,0.459283388,12,307,141,27,2018
59,M,13,1.692307692,0.381818182,18,110,42,27,2018
126,F,17,1.117647059,0.960756833,7,1427,1371,23,2015
136,M,16,1.625,0.604240283,8,283,171,14,2006
223,M,18,2,0.663934426,12,610,405,11,2012
236,F,17,2.294117647,0.666666667,21,360,240,19,2013
115,M,11,1.181818182,0.587412587,5,143,84,4,1997
69,F,7,1.285714286,0.70212766,9,47,33,10,2000
175,M,4,4.25,1,5,30,30,3,1998
264,M,8,1.625,0.611111111,9,54,33,27,2018
298,F,14,1.571428571,0.478527607,9,163,78,22,2018
268,M,11,4.727272727,0.814404432,11,361,294,15,2010
160,M,23,2.173913043,0.564753004,16,749,423,24,2018
99,F,16,2.375,0.558739255,11,349,195,18,2017
263,F,6,1.666666667,0.75,5,44,33,8,2007
234,F,19,1.578947368,0.670261941,6,649,435,4,1998
364,M,30,1.633333333,0.332797428,25,622,207,20,2018
63,F,11,1.636363636,0.496062992,8,127,63,9,2004
31,M,6,1.333333333,0.576923077,5,26,15,17,2016
94,F,10,1.9,0.533333333,6,135,72,9,2008
130,M,8,1.5,0.43902439,7,41,18,15,2012
48,F,1,3,NA,3,NA,0,20,2017
108,M,42,1.619047619,0.522188217,12,2614,1365,10,2018
309,M,21,1.571428571,0.418181818,13,330,138,23,2018
218,F,4,3.25,0.789473684,6,19,15,5,1997
127,M,45,2,0.361424332,47,1685,609,27,2018
319,F,18,2.277777778,0.495412844,15,436,216,24,2018
327,M,27,2.296296296,0.45,20,760,342,20,2018
348,F,6,1.833333333,0.3,8,20,6,22,2017
231,M,7,1.285714286,0.777777778,7,54,42,20,2018
199,M,16,1.3125,0.368421053,12,171,63,27,2018
12,F,7,1.285714286,0.627906977,8,43,27,27,2018
322,M,20,1.45,0.800884956,8,678,543,10,2007
53,F,17,1.588235294,0.43373494,12,249,108,10,2000
112,M,4,2,0.545454545,9,11,6,4,2001
2,F,32,1.875,0.413586414,21,1001,414,20,2018
17,F,9,1.777777778,0.661417323,6,127,84,8,2003
170,F,14,2.928571429,0.532019704,23,203,108,25,2018
140,F,4,1.25,1,3,30,30,5,1995
27,F,16,1.0625,0.66442953,10,298,198,26,2018
102,F,4,2.25,1,3,30,30,2,2000
203,F,5,2.6,0.846153846,6,39,33,9,2004
123,M,15,1.266666667,0.338028169,12,142,48,27,2018
20,F,10,2.7,0.806324111,9,253,204,24,2017
154,F,9,1.555555556,0.411764706,9,51,21,23,2016
273,F,10,2.2,0.5625,13,80,45,18,2014
337,F,18,1.5,0.396475771,16,227,90,24,2018
280,F,19,2.052631579,0.363057325,20,314,114,22,2018
149,M,7,1.857142857,0.652173913,6,69,45,4,2002
207,F,7,2.428571429,0.692307692,9,52,36,26,2018
222,M,5,2,0.727272727,6,33,24,14,2008
52,M,39,1.641025641,0.4359375,32,1280,558,27,2018
105,F,29,2.172413793,0.828822496,16,2845,2358,21,2018
161,F,13,1.461538462,0.375,12,120,45,24,2016
331,M,35,2.2,0.498233216,26,1132,564,13,2008
323,M,5,1.8,0.631578947,14,19,12,24,2017
363,F,16,1.4375,0.742268041,9,388,288,26,2017
133,M,12,1.583333333,0.287234043,19,94,27,23,2018
258,M,8,1.375,0.692307692,4,65,45,6,2001
80,F,4,1.25,0.6,4,10,6,5,1998
124,M,34,1.411764706,0.37587822,35,854,321,26,2018
219,F,2,1.5,0,3,NA,0,15,2006
279,M,7,1.571428571,0.945945946,7,111,105,24,2014
158,M,20,1.8,0.380487805,16,410,156,14,2011
67,M,42,2.119047619,0.293382353,34,1360,399,20,2018
178,F,8,2.125,0.683168317,6,101,69,6,2002
355,M,12,2.083333333,0.532544379,8,169,90,14,2007
132,F,4,2.25,0.789473684,6,19,15,19,2018
212,M,39,1.615384615,0.409594096,16,1626,666,23,2018
202,M,23,1.52173913,0.507592191,16,461,234,21,2018
350,M,4,1.5,0.375,7,8,3,23,2016
164,F,16,3.6875,0.706329114,24,395,279,21,2018
84,M,21,2.238095238,0.621212121,16,792,492,14,2017
305,F,32,1.875,0.410118407,22,929,381,25,2017
93,M,10,3.2,0.545454545,15,110,60,22,2017
89,M,4,1,0.8,3,15,12,9,2005
85,F,22,2.681818182,0.399317406,23,586,234,24,2018
125,F,3,1.666666667,1,3,12,12,5,2004
109,M,83,1.493975904,0.279545455,32,4840,1353,16,2018
155,M,2,2.5,1,4,3,3,8,2003
288,F,20,2.7,0.476190476,16,504,240,21,2018
256,F,5,1.8,1,3,60,60,6,2002
171,F,13,1.538461538,0.691525424,5,295,204,21,2017
383,F,5,1,0.882352941,3,34,30,14,2010
90,F,17,1.529411765,0.42519685,11,254,108,23,2018
167,F,22,2.045454545,0.377952756,19,508,192,22,2018
169,M,23,1.434782609,0.503184713,18,471,237,23,2017
121,M,11,2.636363636,0.6,20,135,81,26,2018
320,M,27,4.481481481,0.369544132,45,1031,381,22,2018
306,F,13,1.153846154,0.381818182,8,110,42,24,2018
366,M,32,1.53125,0.495440729,19,987,489,21,2018
284,M,12,1.833333333,0.486486486,8,111,54,22,2018
30,M,6,2.166666667,0.906976744,3,86,78,18,2011
8,M,18,1.722222222,0.44488978,10,499,222,25,2017
54,M,10,1.2,0.3,11,60,18,26,2018
128,F,5,1.6,0.4,8,15,6,26,2017
189,F,23,1.608695652,0.878463476,16,1588,1395,19,2014
380,F,13,1.538461538,0.653631285,10,179,117,23,2018
120,F,5,1,0.428571429,4,14,6,10,2006
232,M,2,3,1,4,3,3,3,1999
338,M,2,2.5,1,4,3,3,6,1999
311,M,5,2.6,0.652173913,8,23,15,7,2002
95,F,17,1.882352941,0.574123989,11,371,213,16,2013
211,F,12,1.75,0.722222222,7,270,195,12,2009
241,M,10,1.3,0.415384615,8,65,27,20,2018
101,M,24,1.583333333,0.258760108,20,371,96,22,2018
78,F,4,1.25,0.8,6,15,12,20,2012
247,M,5,2.4,0.428571429,13,14,6,27,2017
58,M,66,1.5,0.334876123,25,3673,1230,20,2017
163,F,5,1.2,0.882352941,4,34,30,10,2004
91,M,17,2,0.454183267,16,251,114,28,2018
191,M,26,2.230769231,0.414675768,23,586,243,21,2018
257,M,3,2.333333333,0.75,6,8,6,26,2018
251,F,9,2.333333333,0.5,10,60,30,26,2018
148,M,83,2.156626506,0.425801448,45,7736,3294,24,2018
271,F,10,1.9,0.447761194,10,67,30,23,2018
119,M,9,1.444444444,0.633802817,4,71,45,7,2008
47,M,22,3.090909091,0.486983155,29,653,318,27,2017
188,M,8,3.25,0.732824427,10,131,96,25,2016
249,M,7,2.428571429,0.333333333,15,27,9,23,2018
186,M,13,1.692307692,0.425373134,13,134,57,26,2017
300,F,9,1.666666667,0.584415584,11,77,45,26,2017
208,M,20,1.75,0.328467153,21,274,90,25,2017
3,M,27,2.074074074,0.581052632,21,950,552,28,2018
98,M,5,2.2,0.428571429,11,14,6,28,2018
254,F,8,1.75,0.72815534,4,103,75,7,2001
49,F,7,1.857142857,0.724137931,8,58,42,21,2018
224,M,28,2.535714286,0.540049546,20,1211,654,28,2018
347,M,21,1.761904762,0.567137809,12,566,321,19,2013
372,F,17,1.588235294,0.574675325,10,308,177,23,2018
360,F,10,1.5,0.434782609,13,69,30,8,2005
179,F,6,3.333333333,1,5,105,105,4,1999
104,M,45,2.088888889,0.667607337,26,4961,3312,22,2018
373,F,3,1.666666667,1,3,12,12,4,1995
92,F,21,1.952380952,0.553459119,14,477,264,23,2018
209,F,5,1.2,0.714285714,3,21,15,2,2006
38,F,13,1.538461538,0.556886228,14,167,93,22,2018
144,M,78,1.192307692,0.391381346,19,5082,1989,12,2018
217,M,12,2.666666667,0.669322709,10,251,168,15,2007
1,M,11,1.727272727,0.639705882,6,136,87,16,2013
277,M,3,2,0.6,5,5,3,4,1997
359,F,5,1.4,0.428571429,6,14,6,12,2010
292,M,43,1.302325581,0.431056701,17,1552,669,23,2018
275,M,2,1.5,0,4,NA,0,22,2017
365,M,21,1.714285714,0.509852217,18,406,207,18,2013
367,F,22,2.318181818,0.572127139,22,818,468,12,2008
10,M,20,1.7,0.533834586,17,399,213,8,1998
14,M,8,1.5,0.4375,6,48,21,7,2003
368,F,12,2.166666667,0.219512195,19,82,18,24,2018
190,M,6,2,0.777777778,4,54,42,9,2002
174,F,22,2.136363636,0.508009153,18,437,222,24,2018
356,F,8,1.375,0.384615385,11,39,15,22,2017
291,F,12,2.083333333,0.52293578,8,218,114,6,2001
343,M,28,1.25,0.408653846,18,624,255,21,2018
177,F,1,5,NA,5,NA,0,3,1999
210,F,19,4,0.515337423,33,326,168,25,2018
182,M,27,2.62962963,0.400556328,41,719,288,27,2018
341,F,24,2.458333333,0.54950495,16,606,333,23,2014
19,F,32,1.5,0.567641682,11,1094,621,23,2016
35,F,20,4.9,0.419068736,39,451,189,26,2018
70,M,19,4.631578947,0.622881356,30,472,294,25,2018
198,M,8,1.125,0.757894737,3,95,72,21,2018
68,M,1,4,NA,4,NA,0,25,2017
213,M,4,8.25,1,13,30,30,16,2009
351,M,11,1.545454545,0.58988764,8,178,105,13,2008
370,M,9,2.555555556,0.847328244,10,131,111,22,2015
166,M,12,1.583333333,0.595419847,11,131,78,25,2017
386,M,7,1,0.4,13,30,12,28,2018
110,M,11,1.090909091,0.542857143,4,105,57,23,2018
336,M,2,2.5,1,3,3,3,2,1995
61,M,12,1,0.518181818,4,110,57,12,2008
185,F,46,1.869565217,0.369935408,31,1703,630,28,2018
304,M,12,1.833333333,0.836538462,10,312,261,8,2006
87,M,32,1.46875,0.549094376,19,1049,576,22,2018
72,M,14,3.357142857,0.37037037,28,162,60,24,2018
289,M,13,1.384615385,0.592105263,11,152,90,18,2010
245,M,4,4.75,1,8,30,30,9,2002
283,M,29,1.689655172,0.372994652,19,748,279,11,2006
290,M,14,1.428571429,0.739285714,7,280,207,23,2017
326,F,8,1.5,0.761904762,3,126,96,21,2014
293,F,32,1.84375,0.438461538,23,1040,456,21,2018
82,M,23,1.608695652,0.712456345,12,859,612,22,2018
141,M,18,1.166666667,0.680672269,5,476,324,9,2015
193,F,31,2.322580645,0.320580475,31,758,243,22,2018
269,M,5,2.8,0.652173913,10,23,15,27,2017
129,F,8,1.125,0.610169492,4,59,36,25,2017
317,F,4,2,0.545454545,5,11,6,12,2004
285,M,11,1.454545455,0.5,7,102,51,20,2017
244,M,21,1.857142857,0.697217676,11,611,426,12,2014
315,M,21,2.714285714,0.579545455,20,440,255,24,2016
41,F,5,1.4,0.5,4,18,9,15,2017
13,F,7,1.571428571,0.724137931,5,58,42,5,1995
181,F,4,1,0.375,3,8,3,25,2018
246,M,14,1.142857143,0.461538462,14,143,66,25,2018
297,M,19,2.157894737,0.52892562,17,363,192,26,2018
65,M,15,1.666666667,0.360759494,24,158,57,26,2018
62,F,12,2.75,0.603448276,12,174,105,18,2014
114,F,14,1.642857143,0.254237288,16,118,30,21,2018
328,M,9,2.666666667,0.703703704,7,162,114,12,2011
381,M,14,2.5,0.452830189,16,159,72,24,2018
56,M,4,1.25,0.6,11,10,6,15,2013
205,F,19,1.157894737,0.957086392,5,1771,1695,21,2016
387,F,2,3,1,3,3,3,19,2014
226,M,2,1,0,3,NA,0,16,2016
310,F,73,1.287671233,0.617529398,14,8249,5094,25,2018
369,F,25,1.04,0.904538341,7,1917,1734,7,2000
250,M,12,1.25,0.724719101,6,178,129,23,2018
162,F,20,1.65,0.528455285,11,369,195,16,2011
137,M,7,1.571428571,0.915254237,5,118,108,19,2009
5,F,9,1.222222222,0.507692308,10,65,33,24,2018
24,M,20,1.5,0.531428571,16,350,186,26,2018
362,F,9,1.777777778,0.367346939,12,49,18,25,2018
168,F,10,1.2,0.849056604,4,159,135,6,1996
233,M,16,1.375,0.434782609,10,207,90,16,2010
274,F,7,2.571428571,0.619047619,10,63,39,19,2011
204,F,14,1.571428571,0.413793103,9,174,72,22,2018
81,F,14,2,0.896661367,4,629,564,4,1998
25,F,20,1.45,0.284090909,15,264,75,28,2018
143,F,44,1.886363636,0.62435567,22,3104,1938,13,2018
334,M,23,1.47826087,0.345588235,12,408,141,27,2018
28,M,15,1.6,0.129310345,23,116,15,28,2018
307,M,11,2,0.679245283,11,212,144,21,2018
294,M,18,1.111111111,0.820476858,6,713,585,6,1998
243,M,12,2.25,0.393939394,19,99,39,28,2018
139,M,21,1.19047619,0.531818182,8,440,234,24,2018
32,M,4,1.25,0.545454545,7,11,6,12,2003
385,M,9,1.333333333,0.537313433,5,67,36,16,2008
255,F,12,1,0.758241758,4,182,138,22,2017
330,F,6,1.333333333,0.727272727,4,33,24,20,2012
76,M,11,1.454545455,0.755395683,4,278,210,23,2017
113,M,19,2.263157895,0.44092219,17,347,153,9,2002
252,F,3,1.666666667,0.75,3,8,6,7,2002
138,F,64,1.453125,0.63196252,21,5763,3642,27,2018
201,F,8,2.25,0.635294118,7,85,54,24,2016
375,M,3,1,0.818181818,3,66,54,19,2018
157,M,9,1.666666667,0.5,9,78,39,25,2018
357,M,1,1,NA,9,NA,0,10,2000
184,M,9,1.111111111,0.465517241,10,58,27,28,2018
122,F,15,1.266666667,0.872164948,4,485,423,10,2008
96,M,14,2.642857143,0.586363636,14,220,129,23,2017
50,F,3,2,1,4,12,12,25,2017
7,M,32,1.59375,0.410126582,21,790,324,27,2017
238,M,10,3.6,0.644444444,15,135,87,28,2018
225,M,12,1.166666667,0.467889908,7,109,51,23,2018
230,M,9,1.777777778,0.542857143,6,105,57,9,2007
21,F,4,1.75,0.789473684,3,19,15,6,1999
100,M,22,3,0.482698962,23,578,279,21,2018
390,M,24,1.375,0.400954654,16,419,168,21,2018
220,F,22,1.409090909,0.720257235,10,933,672,13,2006
111,M,32,1.78125,0.229665072,29,627,144,26,2018
278,M,19,1.210526316,0.717105263,7,456,327,20,2018
147,F,11,1,0.949868074,3,379,360,9,2002
352,F,7,1.714285714,0.7,8,60,42,6,1998
248,M,11,2.636363636,0.525,13,160,84,22,2018
259,F,11,1.454545455,0.5,13,90,45,27,2018
16,F,8,1.25,0.264705882,7,34,9,14,2008
97,F,12,1.333333333,0.655629139,6,151,99,19,2016
345,F,18,3,0.482573727,22,373,180,22,2013
339,M,12,3.416666667,0.412844037,20,109,45,21,2018
83,F,7,1.857142857,0.703125,6,64,45,24,2018
183,F,17,1.294117647,0.506329114,12,237,120,21,2015
353,M,43,1.534883721,0.651456311,19,3090,2013,20,2014
145,F,7,1.428571429,0.512195122,5,41,21,5,2000
135,F,10,3.7,0.633802817,15,142,90,27,2018
324,M,24,1.916666667,0.541463415,12,615,333,25,2018
261,M,19,2.684210526,0.618367347,21,490,303,25,2017
377,M,34,1.294117647,0.323636364,19,825,267,19,2018
296,M,14,2.428571429,0.375,32,128,48,22,2015
272,M,5,2.2,0.866666667,3,45,39,20,2018
57,M,9,1.888888889,0.552631579,8,76,42,6,2000
142,M,33,2.96969697,0.651634257,19,2417,1575,26,2018
71,M,88,1.625,0.535951153,31,9499,5091,22,2018
43,M,3,3.333333333,0.6,9,5,3,9,2003
303,F,8,1.875,0.677419355,5,93,63,10,2008
332,M,11,1.636363636,0.46875,14,96,45,27,2018
349,M,13,1.307692308,0.611464968,12,157,96,24,2018
281,M,23,1.652173913,0.497076023,11,513,255,21,2018
267,M,12,2.083333333,0.358695652,23,92,33,26,2018
29,M,4,1,0.375,4,8,3,24,2016
216,M,17,1.647058824,0.883895131,9,801,708,22,2018
117,M,33,2.060606061,0.533333333,12,2655,1416,6,2017
237,M,17,2.058823529,0.771604938,13,486,375,24,2018
4,M,33,2.696969697,0.404239213,26,1321,534,14,2007
214,M,26,1.307692308,0.766728625,9,1076,825,17,2013
340,M,1,2,NA,6,NA,0,16,2006
66,M,22,2.909090909,0.516194332,27,494,255,25,2017
378,M,10,2,0.423076923,13,78,33,24,2018
107,M,8,2.875,0.696969697,9,99,69,7,2000
146,M,17,1.705882353,0.597535934,10,487,291,3,1996
361,M,12,3,0.731707317,13,287,210,11,2005
64,M,1,1,NA,4,NA,0,14,2014
262,F,10,1.7,0.475609756,9,82,39,11,2006
39,M,26,1.461538462,0.330337079,23,445,147,28,2018
342,M,26,1.923076923,0.309012876,32,466,144,24,2018
313,M,12,1.5,0.125,19,72,9,25,2018
37,M,4,1,0.375,3,8,3,12,2007
316,M,6,1.333333333,0.428571429,4,21,9,17,2017
325,F,11,1.090909091,0.458823529,8,85,39,9,2001
346,M,6,1.166666667,0.428571429,5,21,9,22,2012
299,M,4,1.5,0.6,6,10,6,23,2013
9,M,15,1.4,0.597902098,6,286,171,15,2018
176,M,3,4.666666667,1,9,12,12,12,2006
374,F,19,1.421052632,0.517857143,10,336,174,17,2018
376,F,12,1.75,0.49137931,17,116,57,24,2018
36,M,47,1.978723404,0.521393913,23,2267,1182,24,2018
206,M,13,2.384615385,0.571428571,15,168,96,24,2018
103,M,10,1.6,0.79245283,8,159,126,6,1997
287,F,5,1,1,6,60,60,21,2017
46,M,18,1.388888889,0.481343284,11,268,129,19,2017
173,M,8,2.125,0.676470588,5,102,69,24,2018
192,M,12,1.916666667,0.477876106,14,113,54,26,2018
371,M,8,1.875,0.5625,18,48,27,28,2018
389,M,7,2.142857143,0.571428571,6,63,36,22,2016
34,M,12,1.083333333,0.358695652,24,92,33,28,2018
227,F,3,2.333333333,1,3,12,12,3,2001
354,F,39,2.256410256,0.417833456,28,1357,567,27,2018
314,F,14,1.428571429,0.580246914,11,243,141,26,2018
388,F,14,1.571428571,0.605504587,11,218,132,23,2018
55,F,5,2.4,0.5,8,18,9,23,2017
333,F,7,1.857142857,0.627906977,8,43,27,11,2001
156,M,18,1.888888889,0.618384401,11,359,222,13,2005
77,M,32,1.46875,0.59314587,19,1138,675,22,2018
239,M,1,5,NA,5,NA,0,4,1999
384,F,10,1.4,0.344262295,12,61,21,6,2000
187,F,10,1.9,0.719298246,8,171,123,11,2005
195,M,63,1.444444444,0.228773585,36,2544,582,21,2018
152,F,9,2.333333333,0.565217391,10,69,39,24,2018
22,M,26,1.923076923,0.391061453,21,537,210,19,2017
118,M,12,1.083333333,0.882943144,4,299,264,26,2018
151,M,24,1.958333333,0.434298441,31,449,195,25,2017
235,F,14,1,0.828828829,3,333,276,23,2017
358,M,6,1,0.576923077,6,26,15,21,2018
242,M,9,2.555555556,0.306122449,16,49,15,26,2017
321,M,5,1.4,0.652173913,6,23,15,17,2010
200,F,8,6.875,0.736363636,17,110,81,12,2007
240,F,12,1,0.197368421,7,76,15,14,2018
312,M,27,1.555555556,0.699585062,13,1205,843,21,2018
51,M,18,1.666666667,0.397435897,14,234,93,22,2017
60,M,5,2.2,0.4,11,15,6,11,2002
379,M,21,1.333333333,0.43373494,20,332,144,19,2017
165,M,11,2.454545455,0.682926829,9,123,84,19,2016
229,M,4,4,0.8,10,15,12,24,2017
266,M,23,1.956521739,0.39869281,19,459,183,25,2018
42,M,34,1.176470588,0.776649746,12,2167,1683,25,2018
260,F,12,1.916666667,0.582733813,9,139,81,23,2018
194,M,5,1.4,0.428571429,5,14,6,15,2013
197,F,25,2.28,0.606094808,25,886,537,22,2018
215,F,3,2.333333333,0.6,4,5,3,21,2015
45,M,3,1.666666667,0.6,6,5,3,14,2008
180,M,17,1.470588235,0.568773234,12,269,153,25,2016
15,F,3,1.333333333,0.6,4,5,3,4,2000
308,M,24,1.666666667,0.556701031,11,679,378,25,2018
23,F,14,2.857142857,0.720430108,10,279,201,21,2016
335,M,5,1.2,0.714285714,5,21,15,10,2004
286,M,13,1.923076923,0.357798165,26,109,39,28,2018
382,M,13,2.769230769,0.653571429,12,280,183,22,2017
40,M,34,2.882352941,0.421610169,36,1416,597,15,2018
270,F,4,2,0,13,NA,0,13,2006
276,M,10,1.7,0.529411765,12,85,45,26,2017
318,F,11,1.818181818,0.656804734,8,169,111,11,2006
73,M,33,3.787878788,0.32290363,34,1598,516,21,2018
79,M,26,2.961538462,0.421978022,25,910,384,18,2010
265,M,4,2,0.6,6,10,6,20,2012
221,M,19,2.684210526,0.49122807,19,513,252,13,2010
131,M,7,1.428571429,0.7,4,60,42,8,2002
33,M,4,2.5,1,4,30,30,3,2000
75,M,19,1.105263158,0.617886179,6,369,228,4,2007
228,F,34,1.294117647,0.760296846,10,2695,2049,21,2018
344,M,14,1.214285714,0.52173913,9,161,84,22,2017
329,F,15,1.4,0.328767123,14,146,48,22,2017
302,F,3,3,0.6,9,5,3,21,2014
106,M,15,3.466666667,0.650759219,16,461,300,10,2005
134,M,26,1.846153846,0.463636364,25,550,255,25,2018
172,M,15,2.266666667,0.572864322,13,199,114,14,2010
6,F,9,1.888888889,0.714285714,7,126,90,8,2004
74,F,5,1,0.428571429,6,14,6,20,2011
88,F,23,1.652173913,0.613778706,10,958,588,9,2013
282,F,7,1.285714286,0.529411765,4,34,18,20,2013
159,M,2,4.5,1,9,3,3,7,2001
301,M,4,1,0.375,6,8,3,25,2018
11,M,31,1.64516129,0.518722467,25,908,471,26,2018
196,F,17,1.588235294,0.555555556,7,270,150,8,2003
26,M,11,2.272727273,0.681081081,9,185,126,24,2018
44,F,21,2.285714286,0.695187166,14,561,390,21,2018
295,M,7,1.571428571,0.24,10,25,6,27,2018
116,M,23,1.652173913,0.54432133,9,722,393,16,2018
86,M,13,2.615384615,0.705069124,10,217,153,14,2018
